year	month	day	studentid	groupna	treatment	caste	round1	round2	class	seenmaze	knowkids	read	schtype	math1	math2	math3	math4	hindi1	hindi2	hindi3	mothedu	fathedu	mothocc	fathocc	land
2003	1	1	1	42	1	kshatriya	4	8	7	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	5	10	housewife	field	3
2003	1	1	2	42	1	chamar	4	4	6	0	1	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	housewife	field	0.79781
2003	1	1	3	42	1	kshatriya	1	1	6	0	2	1	NA	NA	NA	NA	NA	NA	NA	NA	10	8	housewife	field	1.6
2003	1	1	4	42	1	kshatriya	3	3	6	0	2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	housewife	field	1.83027
2003	1	1	5	42	1	chamar	5	8	7	0	2	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	housewife	field+ construction	0
2003	1	1	6	42	1	chamar	0	0	6	0	2	0	1	NA	NA	NA	NA	NA	NA	NA	6	10	housewife	field	0
2003	1	1	7	51	1	brahmin	1	6	7	1	2	1	NA	NA	NA	NA	NA	NA	NA	NA	literate	literate	was a nurse	jyothi ka kaam	0.05187
2003	1	1	8	51	1	chamar	2	4	6	0	1	1	1	NA	NA	NA	NA	NA	NA	NA	illiterate	literate	housewife	farmer	0.49894
2003	1	1	9	51	1	chamar	2	4	NA	0	1	1	1	NA	NA	NA	NA	NA	NA	NA	illiterate	literate	housewife	farmer	0.82004
2003	1	1	10	51	1	kshatriya	4	6	6	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	illiterate	literate	housewife	farmer	3.6
2003	1	1	11	51	1	chamar	3	4	6	0	0	1	1	NA	NA	NA	NA	NA	NA	NA	illiterate	literate	housewife	farmer	NA
2003	1	1	12	51	1	kshatriya	3	5	6	1	0	1	NA	NA	NA	NA	NA	NA	NA	NA	illiterate	literate	housewife	wage labour in Delhi	0
2003	1	1	13	63	1	chamar	5	7	7	0	2	0	1	NA	NA	NA	NA	NA	NA	NA	8	10	nothing	field	0.49894
2003	1	1	14	63	1	brahmin	2	5	7	1	0	1	NA	NA	NA	NA	NA	NA	NA	NA	8	BA	anganwadi	driver	1.5067
2003	1	1	15	63	1	kshatriya	4	7	7	1	3	1	NA	NA	NA	NA	NA	NA	NA	NA	6	11	housewife	govt. service	0.5681
2003	1	1	16	63	1	chamar	2	1	6	0	1	0	1	NA	NA	NA	NA	NA	NA	NA	NA	10	nothing	wage laborer	1.99823
2003	1	1	17	63	1	chamar	2	6	6	0	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	7	housewife	field	1.78828
2003	1	1	18	63	1	kshatriya	4	8	6	1	1	0	NA	NA	NA	NA	NA	NA	NA	NA	8	10	housewife	field	10.2011
2003	1	1	19	71	1	kshatriya	8	14	7	0	1	1	NA	NA	NA	NA	NA	NA	NA	NA	literate	literate	housewife	field	4.4
2003	1	1	20	71	1	chamar	3	1	7	0	1	0	1	NA	NA	NA	NA	NA	NA	NA	illiterate	literate	housewife	field	1.54869
2003	1	1	21	71	1	chamar	5	6	7	0	3	0	1	NA	NA	NA	NA	NA	NA	NA	literate	literate	housewife	field	0.6
2003	1	1	22	71	1	chamar	2	0	7	0	2	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	housewife	field+ wage labour	3.4
2003	1	1	23	71	1	brahmin	4	4	7	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	literate	literate	housewife	field	NA
2003	1	1	24	71	1	brahmin	4	6	7	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	literate	literate	housewife	farmer	5
2003	1	1	25	82	1	chamar	3	3	7	0	2	0	1	NA	NA	NA	NA	NA	NA	NA	8	BA	housewife	field	0.99788
2003	1	1	26	82	1	kshatriya	3	5	6	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	housewife	field	0.49894
2003	1	1	27	82	1	chamar	4	8	7	0	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	8	housewife	field	0.20007
2003	1	1	28	82	1	kshatriya	2	2	7	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	5	8	housewife	field	NA
2003	1	1	29	82	1	chamar	4	4	7	0	1	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	housewife	field	0.59774
2003	1	1	30	82	1	brahmin	3	9	6	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	9	5	housewife	field+ driver	1.4
2003	1	1	31	93	1	chamar	3	7	6	0	1	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	housewife	field	0.76323
2003	1	1	32	93	1	chamar	2	3	6	0	1	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	housewife	wage laborer	0
2003	1	1	33	93	1	chamar	3	3	7	0	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	housewife	field	0.43966
2003	1	1	34	93	1	brahmin	2	1	7	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	10	BA	housewife	field	1.4
2003	1	1	35	93	1	kshatriya	2	6	7	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	5	8	housewife	field	0.3211
2003	1	1	36	93	1	brahmin	2	4	7	0	1	1	NA	NA	NA	NA	NA	NA	NA	NA	10	MA	housewife	Teacher	1.4
2003	1	2	37	52	1	brahmin	2	6	6	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	8	10	housewife	field+ wage labour	1.4
2003	1	2	38	52	1	chamar	2	2	6	0	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	8	housewife	field	0.1
2003	1	2	39	52	1	chamar	1	0	6	0	0	0	1	NA	NA	NA	NA	NA	NA	NA	5	NA	housewife	nothing	2
2003	1	2	40	52	1	kshatriya	5	7	7	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	5	8	housewife	field	1.90437
2003	1	2	41	52	1	brahmin	5	8	7	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	8	12	housewife	field+ contractor	1.2
2003	1	2	42	52	1	chamar	5	8	7	0	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	12	housewife	field+ wage labour	0.8
2003	1	2	43	63	1	kshatriya	4	3	6	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	8	10	housewife	wage laborer	NA
2003	1	2	44	63	1	chamar	2	8	7	0	2	0	1	NA	NA	NA	NA	NA	NA	NA	5	9	housewife	wage laborer	0.49894
2003	1	2	45	63	1	kshatriya	3	4	6	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	5	10	housewife	wage laborer	1
2003	1	2	46	63	1	chamar	2	2	6	0	1	0	1	NA	NA	NA	NA	NA	NA	NA	NA	5	housewife	NA	0.80028
2003	1	2	47	63	1	chamar	5	7	7	0	3	0	1	NA	NA	NA	NA	NA	NA	NA	dead	11	housewife	wage laborer	0.99788
2003	1	2	48	63	1	kshatriya	3	4	6	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	housewife	wage laborer	2.9887
2003	1	2	49	82	1	kshatriya	3	8	6	0	1	1	NA	NA	NA	NA	NA	NA	NA	NA	5	dead	field	dead	2.85532
2003	1	2	50	82	1	kshatriya	1	6	7	0	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	housewife	field	2
2003	1	2	51	82	1	chamar	1	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.125
2003	1	2	52	82	1	chamar	2	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.4
2003	1	2	53	82	1	kshatriya	5	9	7	0	1	1	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	housewife	field	2.67254
2003	1	2	54	82	1	chamar	2	5	6	0	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	housewife	wage laborer	0.8
2003	1	2	55	93	1	chamar	3	3	6	0	0	0	1	NA	NA	NA	NA	NA	NA	NA	4	10	housewife	driver	0
2003	1	2	56	93	1	chamar	5	7	6	0	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	9	housewife	field	1.36591
2003	1	2	57	93	1	chamar	1	5	6	0	1	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	housewife	field	0.4446
2003	1	2	58	93	1	kshatriya	2	3	7	0	1	1	NA	NA	NA	NA	NA	NA	NA	NA	5	10	housewife	field+ shop	0.97071
2003	1	2	59	93	1	kshatriya	4	4	7	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	housewife	field	3
2003	1	2	60	93	1	kshatriya	3	3	6	0	1	1	NA	NA	NA	NA	NA	NA	NA	NA	5	12	housewife	field	1.76358
2003	1	3	61	52	2	kshatriya	3	1	6	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	12	housewife	field	NA
2003	1	3	62	52	2	chamar	4	8	6	0	1	0	1	NA	NA	NA	NA	NA	NA	NA	NA	2	housewife	majdoori	0
2003	1	3	63	52	2	chamar	7	12	7	0	1	0	1	NA	NA	NA	NA	NA	NA	NA	NA	12	housewife	father not there	1.07692
2003	1	3	64	52	2	brahmin	0	0	6	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	12	housewife	field	3.6
2003	1	3	65	52	2	brahmin	1	1	6	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	housewife	field	3.6
2003	1	3	66	52	2	chamar	2	2	7	0	2	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	majdoori	majdoori	0.24947
2003	1	3	67	82	2	chamar	1	5	6	0	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	housewife	wage laborer	0.99788
2003	1	3	68	82	2	kshatriya	0	0	7	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	housewife	field	3.6
2003	1	3	69	82	2	chamar	4	11	6	0	1	0	1	NA	NA	NA	NA	NA	NA	NA	NA	8	housewife	field	1.2844
2003	1	3	70	82	2	chamar	3	7	7	0	1	0	1	NA	NA	NA	NA	NA	NA	NA	NA	12	housewife	field	NA
2003	1	3	71	82	2	kshatriya	4	6	6	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	12	housewife	field	7
2003	1	3	72	82	2	kshatriya	0	0	6	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	housewife	field, priest	1.59809
2003	1	3	73	112	2	chamar	4	10	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.2
2003	1	3	74	112	2	chamar	2	5	6	0	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	5	housewife	field	1.19795
2003	1	3	75	112	2	brahmin	2	1	6	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	housewife	field	2.4
2003	1	3	76	112	2	brahmin	0	0	6	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	housewife	field	0.63232
2003	1	3	77	112	2	chamar	2	3	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
2003	1	3	78	112	2	brahmin	3	2	6	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	housewife	majdoori	0.21736
2003	1	4	79	52	2	chamar	5	12	6	1	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	house+field	field	0.99788
2003	1	4	80	52	2	kshatriya	5	9	6	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	don't know	5	housewife	govt. service	2.08715
2003	1	4	81	52	2	brahmin	4	8	7	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	don't know	8	housewife	field	1.2
2003	1	4	82	52	2	brahmin	4	1	6	0	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	don't know	don't know	housewife	photographer in Hardoi	NA
2003	1	4	83	52	2	chamar	3	5	7	1	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	5	housewife	field	0.49894
2003	1	4	84	52	2	chamar	0	0	6	0	NA	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	housewife	field	4.94
2003	1	4	85	61	1	thakur	3	7	6	0	1	0	1	NA	NA	NA	NA	NA	NA	NA	NA	10	housewife	agriculture	NA
2003	1	4	86	61	1	thakur	6	3	7	1	2	1	0	NA	NA	NA	NA	NA	NA	NA	don't know	15	housewife	Business	NA
2003	1	4	87	61	1	chamar	3	4	6	1	1	1	0	NA	NA	NA	NA	NA	NA	NA	6	10	housewife	agriculture	NA
2003	1	4	88	61	1	chamar	5	9	6	0	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	10	housewife	agriculture	NA
2003	1	4	89	61	1	thakur	7	9	7	0	2	0	0	NA	NA	NA	NA	NA	NA	NA	5	NA	housewife	Business	NA
2003	1	4	90	61	1	chamar	0	3	6	0	1	0	1	NA	NA	NA	NA	NA	NA	NA	7	8	housewife	agriculture	NA
2003	1	4	91	71	2	chamar	3	7	6	0	1	0	0	NA	NA	NA	NA	NA	NA	NA	5	10	housewife	agriculture	NA
2003	1	4	92	71	2	thakur	0	0	6	0	1	0	0	NA	NA	NA	NA	NA	NA	NA	5	8	housewife	service	NA
2003	1	4	93	71	2	brahmin	0	4	7	0	1	0	1	NA	NA	NA	NA	NA	NA	NA	don't know	don't know	housewife	agriculture	NA
2003	1	4	94	71	2	chamar	6	12	6	0	2	0	0	NA	NA	NA	NA	NA	NA	NA	NA	6	housewife	Labour	NA
2003	1	4	95	71	2	chamar	0	3	7	0	2	0	0	NA	NA	NA	NA	NA	NA	NA	don't know	don't know	housewife	agriculture	NA
2003	1	4	96	71	2	brahmin	2	3	7	0	1	0	1	NA	NA	NA	NA	NA	NA	NA	don't know	don't know	housewife	agriculture	NA
2003	1	4	97	81	2	chamar	4	2	6	0	0	0	1	NA	NA	NA	NA	NA	NA	NA	4	15	Dead	Business	NA
2003	1	4	98	81	2	thakur	0	0	7	0	1	1	0	NA	NA	NA	NA	NA	NA	NA	8	12	housewife	agriculture	NA
