"","x"
"1",0.0862486120817536
"2",2.92841138606241
"3",4.39070655028863
"4",8.1299637173436
"5",5.77163245260103
"6",4.04244937771332
"7",4.93477376468578
"8",7.06074002724737
"9",5.23041126296361
"10",4.30700330951172
"11",3.50131696557207
"12",4.43931354937937
"13",7.27230176386104
"14",7.30730537678318
"15",6.13248200430743
"16",6.54964793939326
"17",8.98727834303287
"18",7.83653235059299
"19",1.44054922076582
"20",9.97787871450614
"21",6.84657363012118
"22",3.90535082538874
"23",6.44623694317918
"24",5.60488487610576
"25",3.80199836343871
"26",3.25923274094973
"27",5.77602504667389
"28",3.67395030151861
"29",6.70513022083565
"30",7.67662847984789
"31",6.63904085839525
"32",3.88862364069856
"33",7.27349270002097
"34",5.86180814957722
"35",4.07126750524223
"36",6.21642309397729
"37",7.26401885613194
"38",3.88946735434251
"39",6.61243528827943
"40",2.69862511422046
"41",6.61373447544956
"42",6.96476902623311
"43",7.1239027633769
"44",4.12885914810697
"45",8.59019096779536
"46",4.25952385825959
"47",8.67800303181045
"48",3.92894610485247
"49",5.10725505124857
"50",6.32110203502939
"51",8.9139618501921
"52",3.91751837964841
"53",5.55133541153984
"54",6.71379305133724
"55",4.77746329358523
"56",7.79950562130348
"57",7.27596491855341
"58",6.18436400168497
"59",7.62633830746121
"60",5.35290847453917
"61",4.3941797671925
"62",5.20953940210858
"63",8.22606211484221
"64",6.57221342029194
"65",3.97344039867515
"66",7.50362914685607
"67",5.96079350427423
"68",5.23562344028531
"69",6.15255280821413
"70",6.80154675431061
"71",5.31209564594963
"72",5.69629057505893
"73",5.25463547734473
"74",4.14463221793278
"75",4.12851498184381
