"","x"
"1",1.75174916724905
"2",3.45704683163744
"3",4.33442393017318
"4",5.16297947156062
"5",4.12546962662799
"6",4.66086425881147
"7",4.83824675777817
"8",4.28420198570703
"9",3.80079017934324
"10",4.36358812962762
"11",5.37948920258446
"12",5.62978876363595
"13",2.56432953245949
"14",5.80794417807271
"15",4.04321049523324
"16",5.56774216590751
"17",5.06293092566346
"18",3.98119901806323
"19",3.65553964456984
"20",5.16561502800433
"21",3.90437018091116
"22",5.72307813250139
"23",5.68342451503715
"24",4.03317418441913
"25",5.21708488974633
"26",4.14276050314534
"27",5.42985385638637
"28",4.03368041260551
"29",5.66746117296766
"30",3.31917506853228
"31",5.66824068526974
"32",5.87886141573987
"33",4.17731548886419
"34",4.25571431495576
"35",4.05736766291148
"36",4.76435303074914
"37",5.49266122101764
"38",4.05051102778905
"39",5.0308012469239
"40",5.72827583080235
"41",4.56647797615114
"42",5.41061840101098
"43",4.9117450847235
"44",4.3365078603155
"45",4.82572364126515
"46",5.64332805217516
"47",4.08406423920509
"48",5.27647610256454
"49",4.84137406417119
"50",5.39153168492848
"51",5.78092805258636
"52",4.88725738756978
"53",5.11777434503536
"54",4.85278128640684
"55",4.18677933075967
"56",4.17710898910628
