year	congress	party	district	statenam	name	ngirls	nboys	totchi	anygirls	propgirls	rgroup	statabb	statalph	region	repub	srvlng	female	white	bday	age	demvote	medinc	perf	perw	perhs	percol	perur	alabort	moreserv	moredef	morecrimesp	protgay	dr1per	dr2per	dr3per	dr4per	dr5per	aauw	rtl	nowtot	now1	now2	now3	now4	now5	now6	now7	now8	now9	now10	now11	now12	now13	now14	now15	now16	now17	now18	now19	now20
"1997-1998"	105.0	1.0	1.0	"HAWAII"	"ABERCROMBIE, NEIL"	0	0	0.0	0.0	0.0	0.0	"HI"	12.0	"9"	0.0	7.0	0.0	1.0	1938-06-26	58.0	0.57	46389	0.5000151	0.2909628	0.814	0.266	0.9979499											100	10	90	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1
"1997-1998"	105.0	1.0	5.0	"NEW YOR"	"ACKERMAN, GARY L."	1	2	3.0	1.0	0.33333334	4.0	"NY"	33.0	"2"	0.0	15.0	0.0	1.0	1942-11-19	54.0	0.6	57915	0.5283446	0.84014803	0.839	0.348	0.9934435	0.56880736	0.4726477	0.17092338	0.588551	0.7051282	0.3	0.38	0.0	0.12	0.19	88	5	90	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1
"1997-1998"	105.0	2.0	4.0	"ALABAMA"	"ADERHOLT, ROBERT B."	0	0	0.0	0.0	0.0	1.0	"AL"	1.0	"6"	1.0	1.0	0.0	1.0	1965-07-22	31.0	0.43	25401	0.5291693	0.92517847	0.577	0.081	0.3419504	0.29707113	0.5	0.31400967	0.5483871	0.53435117	0.69	0.13	0.02	0.04	0.12	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1997-1998"	105.0	1.0	1.0	"MAINE"	"ALLEN, THOMAS H."	2	0	2.0	1.0	1.0	1.0	"ME"	20.0	"1"	0.0	1.0	0.0	1.0	1945-04-16	51.0	0.52	36067	0.5252141	0.9851513	0.817	0.22399999	0.4894656						0.58	0.24	0.02	0.03	0.2	100	5	95	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1
"1997-1998"	105.0	1.0	1.0	"NEW JER"	"ANDREWS, ROBERT E."	2	0	2.0	1.0	1.0	1.0	"NJ"	31.0	"2"	0.0	7.0	0.0	1.0	1957-08-04	39.0	0.59	40674	0.52912766	0.7835612	0.742	0.169	0.9607588	0.5555556	0.37719297	0.16475096	0.5729927	0.70714283	0.31	0.37	0.02	0.09	0.2	100	6	90	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1
"1997-1998"	105.0	2.0	7.0	"TEXAS"	"ARCHER, W.R."	3	4	7.0	1.0	0.42857143	2.0	"TX"	44.0	"7"	1.0	27.0	0.0	1.0	1928-03-22	68.0	0.28	51258	0.5126253	0.83341545	0.90099996	0.407	0.9580938	0.36551723	0.32517484	0.2549923	0.58533335	0.5652174	0.52	0.28	0.01	0.03	0.15	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1997-1998"	105.0	2.0	26.0	"TEXAS"	"ARMEY, RICHARD K."	1	4	5.0	1.0	0.2	1.0	"TX"	44.0	"7"	1.0	13.0	0.0	1.0	1940-07-07	56.0	0.3	48733	0.5100261	0.8712366	0.883	0.37	0.9536379	0.36551723	0.32517484	0.2549923	0.58533335	0.5652174	0.52	0.28	0.01	0.03	0.15	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1997-1998"	105.0	2.0	6.0	"ALABAMA"	"BACHUS, SPENCER"	2	3	5.0	1.0	0.4	1.0	"AL"	1.0	"6"	1.0	5.0	0.0	1.0	1947-12-28	49.0	0.27	38768	0.5293641	0.89700913	0.78900003	0.26299998	0.7724739	0.29707113	0.5	0.31400967	0.5483871	0.53435117	0.69	0.13	0.02	0.04	0.12	0	90	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"1997-1998"	105.0	1.0	6.0	"KENTUCK"	"BAESLER, SCOTTY"	1	1	2.0	1.0	0.5	1.0	"KY"	18.0	"6"	0.0	5.0	0.0	1.0	1941-09-09	55.0	0.46	30482	0.5290591	0.90747553	0.7	0.199	0.63066244	0.2		0.0	0.8125	0.6	0.61	0.14	0.01	0.05	0.19	75	45	55	0	1	0	0	1	1	1	1	1	1	0	0	1	0	1	0	1	0	0	1
"1997-1998"	105.0	2.0	6.0	"LOUISIA"	"BAKER, RICHARD H."	1	1	2.0	1.0	0.5	1.0	"LA"	19.0	"7"	1.0	11.0	0.0	1.0	1948-05-22	48.0	0.5	29808	0.51637304	0.8343347	0.752	0.199	0.5460128	0.18699187	0.39726028	0.5051546	0.72440946	0.49367088	0.52	0.28	0.0	0.03	0.15	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
