ind	treatment	hours	carr	rep	exposition	death	infection	group	tm	logcopygene	treatment2
5	glucose5%	24	25	2	unexposed	1	no	control	74.8	1.873901598	glucose5%control
6	glucose5%	24	3	2	unexposed	1	no	control	76.6	1.88422877	glucose5%control
11	glucose5%	56	25	2	unexposed	2	no	control	70.9	1.850646235	glucose5%control
37	glucose5%	104	3	2	unexposed	4	no	control	72.7	1.861534411	glucose5%control
71	glucose5%	144	3	2	unexposed	6	no	control	73.1	1.863917377	glucose5%control
80	glucose5%	152	25	1	unexposed	6	no	control	77	1.886490725	glucose5%control
97	glucose5%	168	3	2	unexposed	7	no	control	70.2	1.846337112	glucose5%control
105	glucose5%	176	25	2	unexposed	7	no	control	72.7	1.861534411	glucose5%control
126	glucose5%	192	25	2	unexposed	8	no	control	76.7	1.884795364	glucose5%control
179	glucose5%	296	25	1	unexposed	12	no	control	72.3	1.859138297	glucose5%control
193	glucose5%	312	3	2	unexposed	13	no	control	72.4	1.859738566	glucose5%control
196	glucose5%	320	3	2	unexposed	13	no	control	76.6	1.88422877	glucose5%control
210	glucose5%	360	25	2	unexposed	15	no	control	72.2	1.858537198	glucose5%control
213	glucose5%	384	3	1	unexposed	16	no	control	73.3	1.865103975	glucose5%control
214	glucose5%	384	3	2	unexposed	16	no	control	74.3	1.870988814	glucose5%control
228	glucose5%	416	25	1	unexposed	17	no	control	73.3	1.865103975	glucose5%control
229	glucose5%	416	25	2	unexposed	17	no	control	71.2	1.852479994	glucose5%control
231	glucose5%	416	3	1	unexposed	17	no	control	73.3	1.865103975	glucose5%control
237	glucose5%	440	3	2	unexposed	18	no	control	70.1	1.845718018	glucose5%control
241	glucose5%	456	3	2	unexposed	19	no	control	73.3	1.865103975	glucose5%control
244	glucose5%	464	25	1	unexposed	19	no	control	73.3	1.865103975	glucose5%control
246	glucose5%	464	3	2	unexposed	19	no	control	70.1	1.845718018	glucose5%control
250	glucose5%	480	3	1	unexposed	20	no	control	73.3	1.865103975	glucose5%control
253	glucose5%	488	25	2	unexposed	20	no	control	70.5	1.848189117	glucose5%control
258	glucose5%	504	3	1	unexposed	21	no	control	70.1	1.845718018	glucose5%control
259	glucose5%	504	3	1	unexposed	21	no	control	72.9	1.862727528	glucose5%control
260	glucose5%	504	3	1	unexposed	21	no	control	72.9	1.862727528	glucose5%control
264	glucose5%	528	3	2	unexposed	22	no	control	73.3	1.865103975	glucose5%control
270	glucose5%	552	25	1	unexposed	23	no	control	76.8	1.88536122	glucose5%control
271	glucose5%	552	3	2	unexposed	23	no	control	73.3	1.865103975	glucose5%control
278	glucose5%	584	25	2	unexposed	24	no	control	72.9	1.862727528	glucose5%control
279	glucose5%	584	3	1	unexposed	24	no	control	72.9	1.862727528	glucose5%control
290	glucose5%	624	25	2	unexposed	26	no	control	70.1	1.845718018	glucose5%control
291	glucose5%	624	3	1	unexposed	26	no	control	72	1.857332496	glucose5%control
300	glucose5%	656	25	2	unexposed	27	no	control	81	1.908485019	glucose5%control
305	glucose5%	672	25	1	unexposed	28	no	control	81.4	1.910624405	glucose5%control
314	glucose5%	704	25	1	unexposed	29	no	control	70.5	1.848189117	glucose5%control
316	glucose5%	704	3	2	unexposed	29	no	control	72.3	1.859138297	glucose5%control
327	glucose5%	744	25	1	unexposed	31	no	control	69.8	1.843855423	glucose5%control
