individus	death.date	 postinfection.days	treatment	exposition	carriers	period	hours	infected.PCR	gametocyt	planteffect	status
22	21/08/2013	1	glucose	yes	1	amorning	24	no	21	L	1
23	21/08/2013	1	glucose	yes	1	amorning	24	no	21	L	1
24	21/08/2013	1	glucose	yes	1	amorning	24	no	21	L	1
25	21/08/2013	1	glucose	yes	1	amorning	24	no	21	L	1
26	21/08/2013	1	glucose	yes	1	amorning	24	no	21	L	1
27	21/08/2013	1	glucose	yes	1	amorning	24	no	21	L	1
28	21/08/2013	1	glucose	yes	1	amorning	24	no	21	L	1
35	21/08/2013	1	lannea	yes	1	amorning	24	no	21	L	1
36	21/08/2013	1	lannea	yes	1	amorning	24	no	21	L	1
37	21/08/2013	1	lannea	yes	1	amorning	24	no	21	L	1
38	21/08/2013	1	lannea	yes	1	amorning	24	yes	21	L	1
39	21/08/2013	1	lannea	yes	1	amorning	24	no	21	L	1
40	21/08/2013	1	lannea	yes	1	amorning	24	no	21	L	1
44	21/08/2013	1	lannea	yes	1	amorning	24	no	21	L	1
1	21/08/2013	1	lupilina	yes	1	amorning	24	no	21	L	1
2	21/08/2013	1	lupilina	yes	1	amorning	24	no	21	L	1
3	21/08/2013	1	lupilina	yes	1	amorning	24	no	21	L	1
4	21/08/2013	1	lupilina	yes	1	amorning	24	no	21	L	1
13	21/08/2013	1	thevetia	yes	1	amorning	24	no	21	L	1
14	21/08/2013	1	thevetia	yes	1	amorning	24	no	21	L	1
15	21/08/2013	1	thevetia	yes	1	amorning	24	no	21	L	1
16	21/08/2013	1	thevetia	yes	1	amorning	24	no	21	L	1
17	21/08/2013	1	thevetia	yes	1	amorning	24	no	21	L	1
66	21/08/2013	1	lannea	yes	1	evening	32	no	21	L	1
67	21/08/2013	1	lannea	yes	1	evening	32	no	21	L	1
68	21/08/2013	1	lannea	yes	1	evening	32	no	21	L	1
60	21/08/2013	1	lupilina	yes	1	evening	32	no	21	L	1
61	21/08/2013	1	lupilina	yes	1	evening	32	no	21	L	1
62	21/08/2013	1	lupilina	yes	1	evening	32	no	21	L	1
55	21/08/2013	1	thevetia	yes	1	evening	32	no	21	L	1
56	21/08/2013	1	thevetia	yes	1	evening	32	no	21	L	1
85	22/08/2013	2	lannea	yes	1	amorning	48	no	21	L	1
86	22/08/2013	2	lannea	yes	1	amorning	48	no	21	L	1
87	22/08/2013	2	lannea	yes	1	amorning	48	no	21	L	1
