dataset	ccode	cnumb	cluster	clust2	cname	yrbeg	yrend	decade	geo	royal	euro	lac	mideast	asia	africa	warend2	warend5	warend10	noviol2	noviol5	noviol10	gurr2	gurr5	gurr10	pol982	pol985	pol9810	polity2	polity5	polity10	pbs2ll	pbs2l	pbs5l	pbs10l	bollen80	gpol2	gciv2	gpol5	gciv5	gpol10	gciv10	gurrlag5	gurrlagx	outcome	outcome2	treaty	wardur	wartype	unintrvn	uncint	un2int	un2cint	untype	nouncint	peaceop	interven	major	pw10	elf	factmf	factnum	battle	dead	ridp	lifes	lifee	garm	gdp60	gdp85	gdpcap	rgdpcaps	rgdpcape	rgdpch	rgdpch2	aid91	en1	en2st	en2end	area	popst	popen5	popen10	popgro	infst	border	illit	illitend	water	gini1	transf85	sxp	nettrans	electric	en9903s	eh	coldwar	pbs2s3	pbs2s6	pbs2s9	pbs5s3	pbs5s6	pbs5s9	outcome3	negout	milout	logdead	trnsfcap	encaps	cost	costcap	intense	logcost	faction	factn1	factn2	un2cint1	un2cint2	un2cint3	un2cint4	un2cint5	untype1	untype2	untype3	untype4	untype5	strongUN	UNops	UNop1	UNop2	UNop3	UNop4	treatUN	outUN	factnum2	logpop	elfpop	elfpop2	untreaty	unout	exp	energy	ielec	ielf	ielf2	ielfpol	gini	ielfgini	gdp	PKO	enforce	truce	vrebel	vgov	UNopindx	RC2	IC2	LC2	develop	devel	PredUN	ResUN	Pred2UN	Res2UN	L1	Phat1	L2	Phat2	L3	Phat3	L4	Phat4	L5	Phat5	L6	Phat6	L7	Phat7	L8	Phat8	L10	Phat10	L11	Phat11	L12	Phat12	L13	Phat13	L14	Phat14	L15	Phat15	L16	Phat16	L17	Phat17
8	AFG2	2	AFG	AFG	Afghanistan-Taliban	93	NA	5	3	0	0	0	1	1	0	0	0	0	0	0	0	3	3	NA	3	3	NA	-20	-20	-20	0	0	0	0	0	7	7	7	7	7	NA	0	0	0	0	0	72	1	0	0	1	1	0	0	0	0	0	1	66	1	4	NA	10000	3000000	43.5	46.83	11	NA	NA	198	800	800	800	198	NA	NA	NA	NA	652090	22142620	NA	NA	NA	160	4	71	70	20	NA	1.437e+08	NA	1.27e+08	NA	1697	90	0	0	0	0	0	0	0	0	0	1	9.21034	5.73555	7.66395e-05	3.01e+06	0.135937	0.00188801	14.9175	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	16	16.913	1.46141e+09	1.46141e+09	0	0	0.121728	NA	NA	66	4356	198	40.6733	2684.44	800	0	0	0	0	0	0	0.514547	0.00150247	NA	132.847	132.847	0.141923	-0.858077	0.135215	-0.864785	-3.00869	0.0470347	-4.98898	0.00676653	-4.32806	0.0130213	-0.126057	0.468527	-5.46531	0.00421322	-4.73275	0.00872541	-3.43555	0.0312028	-5.5186	0.00399543	-5.7904	0.00304743	-1.5884	0.169609	-5.16071	0.0057049	-0.958707	0.277137	-2.87436	0.0534357	1.32764	0.79045	-0.605454	0.353097	3.59655	0.973313
1	AFG1	1	AFG	AFG	Afghanistan	78	92	4	3	0	0	0	1	1	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	-20	-20	-20	0	0	0	0	0	7	7	7	7	7	NA	3	3	1	2	0	168	0	0	0	0	0	0	0	0	1	1	0	66	1	6	1055000	1200000	5200000	40.1	43.5	11	NA	NA	198	198	198	198	198	NA	0.02	56.95	144.93	652090	13051258	23738085	NA	2.8	183	4	81.8	71	10	NA	1.437e+08	NA	1.27e+08	NA	986	90	1	0	0	0	0	0	0	0	0	1	13.9978	9.73086	7.55483e-05	6.4e+06	0.490374	0.00291889	15.6718	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	36	16.3844	8.61383e+08	8.61383e+08	0	0	0.116329	56.95	228.779	66	4356	NA	36.6765	2420.65	198	0	0	0	1	0	0	0.426928	0.00254908	NA	132	132	0.157834	0.157834	0.186391	0.186391	-3.00918	0.0470128	-4.98947	0.00676325	-4.32855	0.0130151	-0.126546	0.468406	-6.7062	0.00122181	-5.97364	0.00253849	-3.8388	0.0210661	-5.92185	0.00267306	-6.19366	0.00203818	-1.99166	0.120082	-5.1612	0.00570213	-0.959196	0.277039	-3.27761	0.0363472	0.924387	0.715935	-0.605943	0.352985	3.59606	0.973301
9	MEX	88	MEX	MEX	Mexico	92	94	5	2	0	0	1	0	0	0	1	1	NA	1	1	NA	14	16	NA	14	16	NA	14	16	NA	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	7	7	1	1	0	24	1	0	0	0	0	0	0	0	0	0	0	30	0	2	NA	1000	0	70.77	71.97	1007	NA	NA	5827	5827	5827	6253	6253	NA	NA	NA	NA	1958200	86329616	NA	NA	NA	34	3	12.4	10.6	83	50.31	1.984e+09	0.061	1.09e+09	1533	132814	40	0	1	1	1	1	1	1	0	0	1	6.90776	12.626	0.00153845	1000	1.15835e-05	4.82646e-07	6.90776	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	4	18.2737	2.58989e+09	2.58989e+09	0	0	0.061	1326.15	1533	30	900	420	50.31	1509.3	6253	0	0	0	0	1	0	0.339464	0.00330749	0.454937	1533	1533	0.0602968	0.0602968	0.0105372	0.0105372	-2.20071	0.0996867	-4.18099	0.0150532	-3.52008	0.0287464	0.681925	0.664168	-3.30944	0.0352488	-2.57689	0.0706409	0.846177	0.699765	-1.23688	0.22498	-1.50868	0.181134	2.69332	0.936631	-4.35273	0.0127081	-0.150724	0.46239	1.40736	0.80335	5.60937	0.99635	0.202529	0.55046	4.40453	0.987926
1	RUS	109	RUS	FSU	Russia-Chechnya	94	96	5	1	0	1	0	0	0	0	1	NA	NA	0	NA	NA	14	NA	NA	14	NA	NA	-20	NA	NA	0	0	NA	NA	NA	3	4	4	4	NA	NA	11	7	3	4	1	24	1	0	0	0	0	0	0	0	0	1	1	NA	0	2	NA	30000	400000	67.8	65	1128	NA	NA	1451	NA	NA	4700	7741	NA	NA	NA	NA	19320	1000000	NA	NA	NA	18	3	3.5	2.1	56	30.53	NA	NA	-1.12e+08	2216.61	1716076	32	0	0	0	0	NA	NA	NA	1	1	0	10.309	-112	1.71608	430000	0.43	0.0179167	12.9715	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	4	13.8155	NA	NA	0	0	0.129451	1893.25	2216.61	23.2415	540.168	325.381	30.53	709.563	4700	0	0	0	0	0	0	0.416848	-0.0293393	0.440737	2216.61	2216.61	0.331807	0.331807	0.462601	0.462601	-1.80622	0.141095	-3.78651	0.0221719	-3.12559	0.042064	1.07641	0.745815	-3.30944	0.0352488	-2.57689	0.0706409	-2.39533	0.0835298	-4.47838	0.0112244	-4.75018	0.00857592	-0.548182	0.366286	-3.95824	0.0187389	0.243763	0.560641	-1.83414	0.137746	2.36786	0.914344	0.597017	0.644973	4.79902	0.991829
9	THA	123	THA	THA	Thailand-Commun.	67	85	3	4	0	0	0	0	1	0	1	1	1	1	1	1	12	15	19	12	15	19	12	15	19	1	1	1	1	NA	3	3	2	3	3	4	3	3	1	1	0	216	1	0	0	0	0	0	0	0	1	1	0	66	0	2	NA	10000	0	55	66	558	943	NA	1136	1136	2463	3600	1136	NA	NA	NA	NA	513120	30641000	NA	NA	NA	95	3	20	9.8	76	41.28	1.6524e+08	0.142	1.31e+08	1295	3493	20	1	1	1	1	1	1	1	0	0	1	9.21034	4.27532	0.000113998	10000	0.00032636	1.51093e-06	9.21034	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	4	17.2379	2.02231e+09	2.02231e+09	0	0	0.142	1128.71	1295	66	4356	792	41.28	2724.48	3600	0	0	0	0	1	0	0.435515	0.00111995	0.300197	1295	1295	0.0144557	0.0144557	0.00910985	0.00910985	-2.33805	0.0880202	-4.31834	0.0131469	-3.65742	0.0251502	0.544583	0.632878	-3.30944	0.0352488	-2.57689	0.0706409	-0.38471	0.404991	-2.46776	0.0781492	-2.73957	0.0606785	1.46243	0.811905	-4.49007	0.0110954	-0.288066	0.428477	0.176477	0.544005	4.37848	0.987611	0.0651867	0.516291	4.26719	0.986173
1	CHD1	24	CHD	CHD	Chad	65	79	3	5	0	0	0	0	0	1	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	-20	-20	-20	0	0	0	0	6	6	7	7	6	6	7	1	1	2	4	1	168	1	0	0	0	0	0	1	1	1	1	1	69	1	11	11200	50000	320000	35.47	39	35	664	NA	135	736	409	528	409	NA	NA	NA	NA	1284000	3334000	NA	NA	NA	189	6	77	77	27	29.6	1.40715e+08	0.09	8.66504e+07	10	51	144	1	0	0	0	0	0	0	1	1	0	10.8198	25.9899	1.52969e-05	370000	0.110978	0.000660582	12.8213	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	121	15.0197	2.30046e+08	2.30046e+08	0	0	0.09	62.6942	10	69	4761	NA	29.6	2042.4	528	0	0	0	0	0	0	0.821955	0.00680826	0.0273282	10	10	0.00126866	0.00126866	0.00473214	0.00473214	-3.07958	0.0439573	-5.05987	0.00630638	-4.39895	0.012141	-0.196948	0.450921	-5.80541	0.00300218	-5.07286	0.0062255	-2.31499	0.0898891	-4.39804	0.0121519	-4.66985	0.00928664	-0.467846	0.385126	-5.2316	0.00531655	-1.0296	0.263162	-1.7538	0.147568	2.4482	0.92043	-0.676345	0.337078	3.52566	0.971409
1	CON1	31	CON	CON	Congo Brazzaville	92	96	6	5	0	0	0	0	0	1	0	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	-20	NA	NA	0	0	0	NA	NA	7	5	7	5	NA	NA	9	6	2	4	1	36	0	0	0	0	0	0	0	0	1	0	0	66	0	2	NA	2000	200000	48.89	48.49	27.3	756	NA	2211	2211	2211	2240	2240	NA	NA	NA	NA	342000	2707600	NA	NA	NA	90	5	5.3	5.3	38	NA	NA	0.508	4.76099e+06	94.0546	865	55	0	0	0	0	0	0	0	1	1	0	7.6009	1.75838	0.000319471	202000	0.0746048	0.00207236	12.216	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	4	14.8116	1.78702e+08	1.78702e+08	0	0	0.508	132.424	94.0546	66	4356	NA	38.3545	2531.4	2240	0	0	0	0	0	0	0.211373	0.000460622	0.12073	94.0546	94.0546	0.194337	0.194337	0.226412	0.226412	-3.03108	0.0460414	-5.01136	0.00661773	-4.35044	0.0127368	-0.148443	0.462957	-3.30944	0.0352488	-2.57689	0.0706409	-1.99145	0.120103	-4.0745	0.0167165	-4.34631	0.0127889	-0.144307	0.463986	-5.18309	0.00557931	-0.981093	0.272675	-1.43026	0.193058	2.77174	0.941129	-0.62784	0.348001	3.57416	0.972726
1	ZAI2	35	ZAI	ZAI	Congo-Kisanguni	67	67	3	5	0	0	0	0	0	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	-20	1	1	1	0	17	NA	NA	7	6	7	6	1	1	1	1	0	6	1	0	0	0	0	0	0	0	1	1	1	90	0	2	NA	20000	0	43.96	43.96	25	460	422	130	548	548	599	599	NA	NA	NA	NA	2344860	18658960	NA	NA	NA	110	9	68	68	27	41.9	2.95818e+06	0.076	2.17086e+07	95	1920	70	1	0	0	0	0	0	0	0	0	1	9.90349	1.16344	0.0001029	20000	0.00107187	0.000178645	9.90349	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	4	16.7418	1.67931e+09	1.67931e+09	0	0	0.076	133.209	95	90	8100	90	41.9	3771	599	0	0	0	0	1	0	0.371445	0.000304773	0.0387675	95	95	0.165375	0.165375	0.151021	0.151021	-3.03053	0.0460654	-5.01082	0.00662132	-4.3499	0.0127436	-0.147897	0.463093	-3.30944	0.0352488	-2.57689	0.0706409	-0.755244	0.31968	-2.8383	0.0552894	-3.1101	0.0426925	1.0919	0.748739	-5.18255	0.00558234	-0.980547	0.272783	-0.194057	0.451637	4.00794	0.982154	-0.627294	0.348124	3.57471	0.97274
1	ETH1	48	ETH	ETH	Eritrean	74	91	3	5	0	0	0	0	0	1	1	1	0	1	1	0	11	11	NA	11	11	NA	11	11	NA	1	1	1	NA	0	6	5	6	4	NA	NA	1	1	1	2	0	204	1	0	0	0	0	0	0	0	1	1	1	69	0	2	50000	150000	780500	41	45.26	600	249	283	76	296	299	300	300	NA	NA	NA	NA	1097000	34759760	NA	NA	NA	155	4	84	66.8	27	32.42	1.933e+08	0.046	1.707e+08	16.2255	751	100	1	1	1	1	1	1	1	0	0	1	11.9184	4.91085	2.16054e-05	930500	0.0267695	0.000131223	13.7435	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	4	17.364	2.39842e+09	2.39842e+09	0	0	0.046	67.8588	16.2255	69	4761	759	32.42	2236.98	300	0	0	0	1	0	0	0.4892	0.00128644	0.016506	16.2255	16.2255	0.0915309	0.0915309	0.136903	0.136903	-3.07599	0.0441085	-5.05628	0.00632893	-4.39536	0.0121842	-0.193356	0.451811	-3.30944	0.0352488	-2.57689	0.0706409	-2.80798	0.0568946	-4.89103	0.00745764	-5.16284	0.00569284	-0.960835	0.276711	-5.22801	0.00533559	-1.02601	0.263859	-2.24679	0.0956266	1.95521	0.876014	-0.672752	0.337881	3.52925	0.971509
7	KEN	78	KEN	KEN	Kenya	91	93	5	5	0	0	0	0	0	1	1	1	NA	0	0	NA	5	11	NA	5	11	NA	-10	-10	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	3	3	0	0	0	24	1	0	0	0	0	0	0	0	0	0	0	83	1	4	NA	1500	300000	56.81	52.02	NA	NA	NA	794	794	794	914	914	NA	NA	NA	NA	580370	8332000	NA	NA	NA	62	5	28.9	22	49	54.39	1.89507e+08	0.085	1.26e+08	134	1711	81	0	0	0	0	0	0	0	0	0	1	7.31322	15.1224	0.000205353	301500	0.0361858	0.00150774	12.6165	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	16	15.9356	6.91556e+08	6.91556e+08	0	0	0.085	165.562	134	83	6889	415	54.39	4514.37	914	0	0	0	0	0	0	0.468516	0.00396144	0.0581374	134	134	0.257062	0.257062	0.219679	0.219679	-3.00803	0.0470645	-4.98831	0.00677101	-4.32739	0.0130299	-0.125392	0.468693	-5.46531	0.00421322	-4.73275	0.00872541	-2.20555	0.0992535	-4.2886	0.0135383	-4.5604	0.0103496	-0.358403	0.411346	-5.16004	0.00570868	-0.958042	0.27727	-1.64436	0.161873	2.55764	0.928085	-0.604788	0.353249	3.59721	0.973331
