individus	treatment	carriers	exposed	oocyst	infection	eggs	replicate	gametocyt	date
987	glucose5%	1	yes	0	0	0	F	21	17/04/2013
988	glucose5%	1	yes	0	0	0	F	21	17/04/2013
989	glucose5%	1	yes	0	0	0	F	21	17/04/2013
990	glucose5%	1	yes	0	0	0	F	21	17/04/2013
991	glucose5%	1	yes	0	0	0	F	21	17/04/2013
992	glucose5%	1	yes	0	0	0	F	21	17/04/2013
993	glucose5%	1	yes	0	0	0	F	21	17/04/2013
994	glucose5%	1	yes	0	0	0	F	21	17/04/2013
995	glucose5%	1	yes	0	0	0	F	21	17/04/2013
996	glucose5%	1	yes	0	0	0	F	21	17/04/2013
997	glucose5%	1	yes	0	0	0	F	21	17/04/2013
998	glucose5%	1	yes	0	0	0	F	21	17/04/2013
999	glucose5%	1	yes	0	0	0	F	21	17/04/2013
1000	glucose5%	1	yes	0	0	0	F	21	17/04/2013
1001	glucose5%	1	yes	0	0	0	F	21	17/04/2013
1002	glucose5%	1	yes	0	0	0	F	21	17/04/2013
1003	glucose5%	1	yes	0	0	0	F	21	17/04/2013
1004	glucose5%	1	yes	0	0	0	F	21	17/04/2013
1005	glucose5%	1	yes	0	0	0	F	21	17/04/2013
1006	glucose5%	1	yes	0	0	0	F	21	17/04/2013
1007	glucose5%	1	yes	0	0	0	F	21	17/04/2013
1008	glucose5%	1	yes	0	0	0	F	21	17/04/2013
1009	glucose5%	1	yes	0	0	0	F	21	17/04/2013
1010	glucose5%	1	yes	0	0	0	F	21	17/04/2013
1011	glucose5%	1	yes	0	0	0	F	21	17/04/2013
1054	glucose5%	1	yes	1	1	0	F	21	17/04/2013
1047	glucose5%	1	yes	2	1	0	F	21	17/04/2013
1039	glucose5%	1	yes	3	1	0	F	21	17/04/2013
1055	glucose5%	1	yes	3	1	0	F	21	17/04/2013
1044	glucose5%	1	yes	4	1	0	F	21	17/04/2013
1042	glucose5%	1	yes	5	1	0	F	21	17/04/2013
1048	glucose5%	1	yes	5	1	0	F	21	17/04/2013
1063	glucose5%	1	yes	5	1	0	F	21	17/04/2013
1040	glucose5%	1	yes	6	1	0	F	21	17/04/2013
1052	glucose5%	1	yes	6	1	0	F	21	17/04/2013
1053	glucose5%	1	yes	7	1	0	F	21	17/04/2013
1059	glucose5%	1	yes	9	1	0	F	21	17/04/2013
1050	glucose5%	1	yes	10	1	0	F	21	17/04/2013
1061	glucose5%	1	yes	10	1	0	F	21	17/04/2013
1041	glucose5%	1	yes	11	1	0	F	21	17/04/2013
1043	glucose5%	1	yes	12	1	0	F	21	17/04/2013
1058	glucose5%	1	yes	13	1	0	F	21	17/04/2013
1060	glucose5%	1	yes	14	1	1	F	21	17/04/2013
1051	glucose5%	1	yes	19	1	0	F	21	17/04/2013
1056	glucose5%	1	yes	25	1	0	F	21	17/04/2013
1046	glucose5%	1	yes	26	1	0	F	21	17/04/2013
1062	glucose5%	1	yes	27	1	0	F	21	17/04/2013
1057	glucose5%	1	yes	36	1	0	F	21	17/04/2013
1045	glucose5%	1	yes	38	1	0	F	21	17/04/2013
1049	glucose5%	1	yes	46	1	0	F	21	17/04/2013
1012	lupilina	1	yes	0	0	0	F	21	17/04/2013
1013	lupilina	1	yes	0	0	0	F	21	17/04/2013
1014	lupilina	1	yes	0	0	0	F	21	17/04/2013
1015	lupilina	1	yes	0	0	0	F	21	17/04/2013
1016	lupilina	1	yes	0	0	0	F	21	17/04/2013
1017	lupilina	1	yes	0	0	0	F	21	17/04/2013
1018	lupilina	1	yes	0	0	0	F	21	17/04/2013
1065	lupilina	1	yes	1	1	0	F	21	17/04/2013
1064	lupilina	1	yes	6	1	0	F	21	17/04/2013
1019	lupilina	1	yes	16	1	0	F	21	17/04/2013
1020	lupilina	1	yes	18	1	0	F	21	17/04/2013
1021	lupilina	1	yes	26	1	1	F	21	17/04/2013
1066	mangifera	1	yes	9	1	0	F	21	17/04/2013
1022	thevetia	1	yes	0	0	0	F	21	17/04/2013
1023	thevetia	1	yes	0	0	0	F	21	17/04/2013
1024	thevetia	1	yes	0	0	0	F	21	17/04/2013
1025	thevetia	1	yes	0	0	0	F	21	17/04/2013
1026	thevetia	1	yes	0	0	0	F	21	17/04/2013
1027	thevetia	1	yes	0	0	0	F	21	17/04/2013
1028	thevetia	1	yes	0	0	0	F	21	17/04/2013
1029	thevetia	1	yes	0	0	0	F	21	17/04/2013
1030	thevetia	1	yes	0	0	0	F	21	17/04/2013
1031	thevetia	1	yes	0	0	0	F	21	17/04/2013
1032	thevetia	1	yes	0	0	0	F	21	17/04/2013
1033	thevetia	1	yes	0	0	0	F	21	17/04/2013
1034	thevetia	1	yes	0	0	0	F	21	17/04/2013
1035	thevetia	1	yes	0	0	0	F	21	17/04/2013
1036	thevetia	1	yes	0	0	0	F	21	17/04/2013
1037	thevetia	1	yes	0	0	0	F	21	17/04/2013
1038	thevetia	1	yes	0	0	0	F	21	17/04/2013
1067	thevetia	1	yes	1	1	0	F	21	17/04/2013
1069	thevetia	1	yes	1	1	0	F	21	17/04/2013
1075	thevetia	1	yes	1	1	0	F	21	17/04/2013
1077	thevetia	1	yes	1	1	0	F	21	17/04/2013
1083	thevetia	1	yes	1	1	0	F	21	17/04/2013
1076	thevetia	1	yes	2	1	0	F	21	17/04/2013
1079	thevetia	1	yes	2	1	0	F	21	17/04/2013
1081	thevetia	1	yes	2	1	0	F	21	17/04/2013
1080	thevetia	1	yes	3	1	0	F	21	17/04/2013
1071	thevetia	1	yes	4	1	0	F	21	17/04/2013
1073	thevetia	1	yes	4	1	0	F	21	17/04/2013
1070	thevetia	1	yes	6	1	0	F	21	17/04/2013
1072	thevetia	1	yes	6	1	0	F	21	17/04/2013
