individus	treatment	postinfection.days	carriers	exposed	infection	gametocyt	replicate
75	glucose	14	3	yes	0	21	L
76	glucose	14	3	yes	0	21	L
77	glucose	14	3	yes	0	21	L
78	glucose	14	3	yes	0	21	L
79	glucose	14	3	yes	1	21	L
80	glucose	14	3	yes	1	21	L
81	glucose	14	3	yes	1	21	L
82	glucose	14	3	yes	1	21	L
83	glucose	14	3	yes	1	21	L
84	glucose	14	3	yes	1	21	L
85	glucose	14	3	yes	1	21	L
86	lannea	14	3	yes	0	21	L
87	lannea	14	3	yes	0	21	L
88	lannea	14	3	yes	0	21	L
89	lannea	14	3	yes	1	21	L
90	lannea	14	3	yes	1	21	L
91	lannea	14	3	yes	1	21	L
92	lannea	14	3	yes	1	21	L
93	lannea	14	3	yes	1	21	L
94	lannea	14	3	yes	1	21	L
95	lannea	14	3	yes	1	21	L
96	lannea	14	3	yes	1	21	L
97	lannea	14	3	yes	1	21	L
98	lannea	14	3	yes	1	21	L
99	lannea	14	3	yes	1	21	L
100	lannea	14	3	yes	1	21	L
101	lannea	14	3	yes	1	21	L
102	lannea	14	3	yes	1	21	L
103	lannea	14	3	yes	1	21	L
104	lannea	14	3	yes	1	21	L
105	lannea	14	3	yes	1	21	L
106	lannea	14	3	yes	1	21	L
107	lannea	14	3	yes	1	21	L
108	lupilina	14	3	yes	0	21	L
109	lupilina	14	3	yes	0	21	L
110	lupilina	14	3	yes	0	21	L
111	lupilina	14	3	yes	0	21	L
112	lupilina	14	3	yes	0	21	L
113	lupilina	14	3	yes	0	21	L
114	lupilina	14	3	yes	0	21	L
115	lupilina	14	3	yes	0	21	L
116	lupilina	14	3	yes	0	21	L
117	lupilina	14	3	yes	0	21	L
118	lupilina	14	3	yes	0	21	L
119	lupilina	14	3	yes	0	21	L
120	lupilina	14	3	yes	0	21	L
121	lupilina	14	3	yes	0	21	L
122	lupilina	14	3	yes	0	21	L
123	lupilina	14	3	yes	0	21	L
124	lupilina	14	3	yes	0	21	L
125	lupilina	14	3	yes	0	21	L
126	lupilina	14	3	yes	0	21	L
127	lupilina	14	3	yes	0	21	L
128	lupilina	14	3	yes	1	21	L
129	lupilina	14	3	yes	1	21	L
130	lupilina	14	3	yes	1	21	L
131	lupilina	14	3	yes	1	21	L
132	lupilina	14	3	yes	1	21	L
133	lupilina	14	3	yes	1	21	L
134	lupilina	14	3	yes	1	21	L
135	lupilina	14	3	yes	1	21	L
136	lupilina	14	3	yes	1	21	L
137	lupilina	14	3	yes	1	21	L
138	lupilina	14	3	yes	1	21	L
139	lupilina	14	3	yes	1	21	L
140	lupilina	14	3	yes	1	21	L
141	lupilina	14	3	yes	1	21	L
142	lupilina	14	3	yes	1	21	L
143	lupilina	14	3	yes	1	21	L
144	lupilina	14	3	yes	1	21	L
145	lupilina	14	3	yes	1	21	L
146	lupilina	14	3	yes	1	21	L
147	lupilina	14	3	yes	1	21	L
148	lupilina	14	3	yes	1	21	L
149	lupilina	14	3	yes	1	21	L
150	lupilina	14	3	yes	1	21	L
151	lupilina	14	3	yes	1	21	L
152	lupilina	14	3	yes	1	21	L
153	lupilina	14	3	yes	1	21	L
154	lupilina	14	3	yes	1	21	L
155	lupilina	14	3	yes	1	21	L
156	lupilina	14	3	yes	1	21	L
157	lupilina	14	3	yes	1	21	L
158	thevetia	14	3	yes	0	21	L
159	thevetia	14	3	yes	0	21	L
160	thevetia	14	3	yes	0	21	L
161	thevetia	14	3	yes	1	21	L
162	glucose	14	4	yes	0	14	L
163	glucose	14	4	yes	0	14	L
164	glucose	14	4	yes	0	14	L
165	glucose	14	4	yes	0	14	L
166	glucose	14	4	yes	0	14	L
167	glucose	14	4	yes	0	14	L
168	glucose	14	4	yes	0	14	L
169	glucose	14	4	yes	0	14	L
170	glucose	14	4	yes	1	14	L
171	glucose	14	4	yes	1	14	L
172	glucose	14	4	yes	1	14	L
173	lannea	14	4	yes	0	14	L
174	lannea	14	4	yes	0	14	L
175	lannea	14	4	yes	0	14	L
176	lannea	14	4	yes	0	14	L
177	lannea	14	4	yes	0	14	L
178	lannea	14	4	yes	0	14	L
179	lannea	14	4	yes	0	14	L
180	lannea	14	4	yes	0	14	L
181	lannea	14	4	yes	0	14	L
182	lannea	14	4	yes	0	14	L
183	lannea	14	4	yes	0	14	L
184	lannea	14	4	yes	0	14	L
185	lannea	14	4	yes	0	14	L
