individus	treatment	time	carriers	exposed	infection	gametocyt	replicate
13Pd1	glucose	9	1	yes	0	19	M
13Pd2	glucose	9	1	yes	0	19	M
13Pd3	glucose	9	1	yes	0	19	M
13Pd4	glucose	9	1	yes	0	19	M
13Pd5	glucose	9	1	yes	0	19	M
13Pd6	glucose	9	1	yes	0	19	M
13Pd7	glucose	9	1	yes	0	19	M
13Pd8	glucose	9	1	yes	0	19	M
13Pd10	glucose	9	1	yes	0	19	M
13Pd11	glucose	9	2	yes	0	17	M
13Pd12	glucose	9	2	yes	0	17	M
13Pd13	glucose	9	2	yes	0	17	M
13Pd14	glucose	9	2	yes	0	17	M
13Pd15	glucose	9	2	yes	0	17	M
13Pd17	glucose	9	2	yes	0	17	M
13Pd18	glucose	9	2	yes	0	17	M
13Pd19	glucose	9	2	yes	0	17	M
13Pd20	glucose	9	2	yes	0	17	M
13Pd9	glucose	9	1	yes	1	19	M
13Pd16	glucose	9	2	yes	1	17	M
13Pd21	lannea	9	1	yes	0	19	M
13Pd22	lannea	9	1	yes	0	19	M
13Pd24	lannea	9	1	yes	0	19	M
13Pd26	lannea	9	1	yes	0	19	M
13Pd27	lannea	9	1	yes	0	19	M
13Pd28	lannea	9	1	yes	0	19	M
13Pd31	lannea	9	2	yes	0	17	M
13Pd32	lannea	9	2	yes	0	17	M
13Pd33	lannea	9	2	yes	0	17	M
13Pd34	lannea	9	2	yes	0	17	M
13Pd35	lannea	9	2	yes	0	17	M
13Pd37	lannea	9	2	yes	0	17	M
13Pd38	lannea	9	2	yes	0	17	M
13Pd39	lannea	9	2	yes	0	17	M
13Pd40	lannea	9	2	yes	0	17	M
13Pd23	lannea	9	1	yes	1	19	M
13Pd25	lannea	9	1	yes	1	19	M
13Pd29	lannea	9	1	yes	1	19	M
13Pd30	lannea	9	1	yes	1	19	M
13Pd36	lannea	9	2	yes	1	17	M
13Pd41	lupilina	9	1	yes	0	19	M
13Pd42	lupilina	9	1	yes	0	19	M
13Pd43	lupilina	9	1	yes	0	19	M
13Pd44	lupilina	9	1	yes	0	19	M
13Pd45	lupilina	9	1	yes	0	19	M
13Pd46	lupilina	9	1	yes	0	19	M
13Pd47	lupilina	9	1	yes	0	19	M
13Pd48	lupilina	9	1	yes	0	19	M
13Pd49	lupilina	9	1	yes	0	19	M
13Pd50	lupilina	9	1	yes	0	19	M
13Pd51	lupilina	9	2	yes	0	17	M
13Pd52	lupilina	9	2	yes	0	17	M
13Pd54	lupilina	9	2	yes	0	17	M
13Pd55	lupilina	9	2	yes	0	17	M
13Pd57	lupilina	9	2	yes	0	17	M
13Pd58	lupilina	9	2	yes	0	17	M
13Pd59	lupilina	9	2	yes	0	17	M
13Pd53	lupilina	9	2	yes	1	17	M
13Pd56	lupilina	9	2	yes	1	17	M
13Pd60	lupilina	9	2	yes	1	17	M
13Pd61	thevetia	9	1	yes	0	19	M
13Pd62	thevetia	9	1	yes	0	19	M
13Pd63	thevetia	9	1	yes	0	19	M
13Pd64	thevetia	9	1	yes	0	19	M
13Pd65	thevetia	9	1	yes	0	19	M
