y	x1	x2	x3	x4	x5	x6	x7	x8	x9	x10	un1	un	cluster
0	1	14.9174	72	4	16	5.73555	132.847	0.121728	5	0	1	0	AFG
0	0	15.6718	168	6	36	9.73086	132	0.116329	4	0	0	0	AFG
1	1	6.90775	24	2	4	12.626	1533	0.061	5	0	0	0	MEX
0	1	12.9715	24	2	4	-112	2216.61	0.129451	5	1	0	0	RUS
1	1	9.21034	216	2	4	4.27532	1295	0.142	3	0	0	0	THA
0	1	12.8213	168	11	121	25.9899	10	0.09	3	1	0	0	CHD
0	0	12.216	36	2	4	1.75838	94.0546	0.508	6	1	0	0	CON
0	1	9.90349	6	2	4	1.16344	95	0.076	3	0	0	0	ZAI
1	1	13.7435	204	2	4	4.91085	16.2255	0.046	3	0	0	0	ETH
0	1	12.6165	24	4	16	15.1224	134	0.085	5	0	0	0	KEN
0	1	6.90775	36	3	9	72.6672	410	0.294	4	0	1	0	PNG
0	1	7.6009	48	2	4	0.933664	95	0.078	4	0	0	0	ZAI
0	1	12.7691	144	3	9	0.117228	79	0.013	3	0	1	0	BRM
0	1	10.4913	96	2	4	2.73193	16.2255	0.07	3	0	0	0	ETH
1	1	11.5129	288	2	4	7.74211	3212.88	0.08	3	1	2	0	SAF
1	0	8.6125	24	2	4	16.7045	31	0.066	6	1	3	0	CAF
1	1	8.07091	312	4	16	283.545	4672	0.203	3	1	0	0	IRE
1	1	11.7035	72	2	4	10.9813	31	0.144	5	1	1	0	MLI
1	0	7.6009	6	2	4	83.1924	127	0.0751397	6	0	1	0	YEM
1	0	10.3735	36	2	4	109.887	427	0.150474	5	1	0	0	DJI
0	1	11.5759	24	4	16	7.66008	324	0.124651	5	0	0	0	MLD
1	1	15.0757	600	6	36	1272.47	5387	0.041	2	1	0	0	ISR
1	1	11.835	288	8	64	344.597	584	0.157758	3	1	3	1	NAM
0	1	12.2061	96	6	36	3.85989	792	0.164	3	1	0	0	ZMB
0	0	13.1224	180	4	16	19.8539	60	0.140811	2	0	0	0	LAO
1	1	9.21034	12	2	4	2.32157	792	0.164	4	0	0	0	ZMB
1	1	11.5029	252	2	4	8.27956	16.2053	0.018	4	1	0	0	BGL
1	1	13.0081	6	3	9	109.059	2315	0.122683	6	1	4	0	CRO
0	0	12.6443	60	3	9	7.97863	48	0.12	6	1	1	0	SIE
0	1	13.415	24	4	16	4.46373	2216.61	0.116488	5	1	2	0	TAJ
0	1	14.378	96	4	16	15.0972	2440	0.122822	5	0	0	0	AZE
0	1	12.4969	12	3	9	24.0011	1175	0.116764	4	0	2	0	GRG
0	1	14.8271	36	5	25	98.5402	506	0.105403	5	1	3	1	BOS
0	1	12.4342	24	3	9	24.0011	1175	0.116764	4	0	2	0	GRG
0	1	14.0387	168	3	9	0.213755	30.8671	0.14	3	0	0	0	BRM
0	1	14.0274	192	2	4	28.3514	220	0.138	4	0	0	0	SRI
0	0	10.3089	49	4	16	1.36159	43.6403	0.108	2	0	0	0	IDN
0	1	10.3089	2	4	16	1.4425	43.6403	0.11808	1	0	0	0	IDN
0	1	9.43348	6	4	16	604.611	387.438	0.074	3	0	0	0	JRD
